Event IDs;Stream of Trials;Time onsets;Time offsets;Stimulus;Conflicts
0;1;0;1288;s2;False
0;3;0;1486;s1;False
1;8;1288;2576;s2;False
1;2;1486;2972;s1;False
2;9;2576;3864;s2;False
2;6;2972;4458;s1;False
3;2;3864;5152;s2;False
3;9;4458;5944;s1;False
4;4;5152;6440;s2;False
4;8;5944;7430;s1;False
5;6;6440;7728;s2;False
5;1;7430;8916;s1;True
6;5;7728;9016;s2;True
6;4;8916;10402;s1;False
7;3;9016;10304;s2;False
8;2;10304;11592;s2;False
7;1;10402;11888;s1;False
9;6;11592;12880;s2;True
8;5;11888;13374;s1;True
10;2;12880;14168;s2;True
9;4;13374;14860;s1;True
11;3;14168;15456;s2;False
10;9;14860;16346;s1;False
12;1;15456;16744;s2;False
11;3;16346;17832;s1;False
13;5;16744;18032;s2;False
12;2;17832;19318;s1;False
14;6;18032;19320;s2;False
13;1;19318;20804;s1;False
15;9;19320;20608;s2;False
16;4;20608;21896;s2;True
14;3;20804;22290;s1;True
17;2;21896;23184;s2;True
15;6;22290;23776;s1;True
18;1;23184;24472;s2;False
16;3;23776;25262;s1;False
19;9;24472;25760;s2;False
17;5;25262;26748;s1;False
20;2;25760;27048;s2;False
18;1;26748;28234;s1;True
21;4;27048;28336;s2;True
19;6;28234;29720;s1;True
22;3;28336;29624;s2;False
23;1;29624;30912;s2;True
20;2;29720;31206;s1;False
24;4;30912;32200;s2;True
21;3;31206;32692;s1;True
25;5;32200;33488;s2;True
22;2;32692;34178;s1;True
26;4;33488;34776;s2;True
23;3;34178;35664;s1;True
27;5;34776;36064;s2;False
24;9;35664;37150;s1;False
28;4;36064;37352;s2;False
25;2;37150;38636;s1;False
29;1;37352;38640;s2;True
26;5;38636;40122;s1;True
30;2;38640;39928;s2;False
31;8;39928;41216;s2;False
27;1;40122;41608;s1;False
32;4;41216;42504;s2;True
28;6;41608;43094;s1;True
33;8;42504;43792;s2;False
29;5;43094;44580;s1;False
34;2;43792;45080;s2;False
30;8;44580;46066;s1;False
35;9;45080;46368;s2;False
31;4;46066;47552;s1;False
36;2;46368;47656;s2;True
32;3;47552;49038;s1;True
37;5;47656;48944;s2;False
38;1;48944;50232;s2;False
33;8;49038;50524;s1;False
39;4;50232;51520;s2;False
34;2;50524;52010;s1;False
40;8;51520;52808;s2;False
35;1;52010;53496;s1;False
41;4;52808;54096;s2;False
36;5;53496;54982;s1;False
42;3;54096;55384;s2;False
37;9;54982;56468;s1;False
43;5;55384;56672;s2;False
38;4;56468;57954;s1;False
44;2;56672;57960;s2;False
39;9;57954;59440;s1;True
45;5;57960;59248;s2;True
46;1;59248;60536;s2;False
40;3;59440;60926;s1;False
47;9;60536;61824;s2;False
41;8;60926;62412;s1;False
48;3;61824;63112;s2;False
42;2;62412;63898;s1;False
49;5;63112;64400;s2;True
43;1;63898;65384;s1;True
50;8;64400;65688;s2;False
44;4;65384;66870;s1;False
51;3;65688;66976;s2;True
45;1;66870;68356;s1;True
52;6;66976;68264;s2;False
53;2;68264;69552;s2;False
46;8;68356;69842;s1;True
54;1;69552;70840;s2;True
47;6;69842;71328;s1;False
55;4;70840;72128;s2;False
48;5;71328;72814;s1;False
56;6;72128;73416;s2;False
49;9;72814;74300;s1;False
57;5;73416;74704;s2;False
50;1;74300;75786;s1;False
58;4;74704;75992;s2;False
51;8;75786;77272;s1;False
59;3;75992;77280;s2;False
52;2;77272;78758;s1;False
60;9;77280;78568;s2;False
61;8;78568;79856;s2;False
53;3;78758;80244;s1;False
62;1;79856;81144;s2;False
54;4;80244;81730;s1;False
63;2;81144;82432;s2;False
55;6;81730;83216;s1;False
64;1;82432;83720;s2;False
56;3;83216;84702;s1;False
65;5;83720;85008;s2;False
57;4;84702;86188;s1;False
66;3;85008;86296;s2;False
58;9;86188;87674;s1;True
67;5;86296;87584;s2;True
68;4;87584;88872;s2;False
59;1;87674;89160;s1;True
69;3;88872;90160;s2;True
60;8;89160;90646;s1;False
70;9;90160;91448;s2;False
61;1;90646;92132;s1;False
71;8;91448;92736;s2;False
62;5;92132;93618;s1;False
72;4;92736;94024;s2;False
63;9;93618;95104;s1;False
73;5;94024;95312;s2;False
64;6;95104;96590;s1;False
74;2;95312;96600;s2;False
65;1;96590;98076;s1;False
75;8;96600;97888;s2;False
76;3;97888;99176;s2;False
66;5;98076;99562;s1;False
77;9;99176;100464;s2;False
67;3;99562;101048;s1;False
78;6;100464;101752;s2;False
68;4;101048;102534;s1;False
79;1;101752;103040;s2;False
69;2;102534;104020;s1;True
80;8;103040;104328;s2;True
70;6;104020;105506;s1;True
81;1;104328;105616;s2;True
71;2;105506;106992;s1;False
82;5;105616;106904;s2;False
83;3;106904;108192;s2;False
72;8;106992;108478;s1;True
84;2;108192;109480;s2;True
73;9;108478;109964;s1;False
85;1;109480;110768;s2;False
74;5;109964;111450;s1;False
86;6;110768;112056;s2;False
75;8;111450;112936;s1;False
87;2;112056;113344;s2;False
76;3;112936;114422;s1;False
88;4;113344;114632;s2;True
77;1;114422;115908;s1;True
89;6;114632;115920;s2;False
78;2;115908;117394;s1;False
90;5;115920;117208;s2;False
91;4;117208;118496;s2;False
79;6;117394;118880;s1;False
92;2;118496;119784;s2;False
80;1;118880;120366;s1;False
93;9;119784;121072;s2;False
81;4;120366;121852;s1;False
94;3;121072;122360;s2;False
82;9;121852;123338;s1;False
95;1;122360;123648;s2;True
83;4;123338;124824;s1;True
96;6;123648;124936;s2;False
84;5;124824;126310;s1;False
97;1;124936;126224;s2;False
98;8;126224;127512;s2;False
85;3;126310;127796;s1;False
99;2;127512;128800;s2;False
86;6;127796;129282;s1;False
100;9;128800;130088;s2;False
87;2;129282;130768;s1;False
101;3;130088;131376;s2;False
88;6;130768;132254;s1;True
102;4;131376;132664;s2;True
89;9;132254;133740;s1;True
103;1;132664;133952;s2;True
90;8;133740;135226;s1;False
