Event IDs;Stream of Trials;Time onsets;Time offsets;Stimulus;Conflicts
0;5;0;1288;s2;False
0;2;0;1486;s1;True
1;9;1288;2576;s2;True
1;1;1486;2972;s1;True
2;3;2576;3864;s2;True
2;5;2972;4458;s1;False
3;6;3864;5152;s2;True
3;4;4458;5944;s1;True
4;2;5152;6440;s2;False
4;1;5944;7430;s1;False
5;9;6440;7728;s2;False
5;2;7430;8916;s1;False
6;1;7728;9016;s2;False
6;9;8916;10402;s1;False
7;4;9016;10304;s2;False
8;6;10304;11592;s2;False
7;4;10402;11888;s1;False
9;8;11592;12880;s2;False
8;5;11888;13374;s1;True
10;2;12880;14168;s2;True
9;3;13374;14860;s1;False
11;4;14168;15456;s2;False
10;9;14860;16346;s1;True
12;5;15456;16744;s2;True
11;2;16346;17832;s1;False
13;3;16744;18032;s2;False
12;6;17832;19318;s1;False
14;1;18032;19320;s2;True
13;9;19318;20804;s1;True
15;2;19320;20608;s2;False
16;6;20608;21896;s2;True
14;1;20804;22290;s1;True
17;5;21896;23184;s2;False
15;8;22290;23776;s1;False
18;3;23184;24472;s2;False
16;6;23776;25262;s1;False
19;9;24472;25760;s2;False
17;4;25262;26748;s1;True
20;1;25760;27048;s2;True
18;3;26748;28234;s1;False
21;8;27048;28336;s2;False
19;5;28234;29720;s1;False
22;2;28336;29624;s2;False
23;6;29624;30912;s2;False
20;2;29720;31206;s1;False
24;5;30912;32200;s2;False
21;4;31206;32692;s1;False
25;3;32200;33488;s2;True
22;2;32692;34178;s1;True
26;6;33488;34776;s2;False
23;9;34178;35664;s1;True
27;8;34776;36064;s2;True
24;4;35664;37150;s1;False
28;5;36064;37352;s2;True
25;9;37150;38636;s1;True
29;4;37352;38640;s2;False
26;2;38636;40122;s1;True
30;3;38640;39928;s2;False
31;6;39928;41216;s2;True
27;5;40122;41608;s1;False
32;3;41216;42504;s2;False
28;9;41608;43094;s1;False
33;4;42504;43792;s2;False
29;6;43094;44580;s1;False
34;2;43792;45080;s2;False
30;8;44580;46066;s1;False
35;1;45080;46368;s2;False
31;3;46066;47552;s1;False
36;8;46368;47656;s2;False
32;4;47552;49038;s1;False
37;5;47656;48944;s2;False
38;9;48944;50232;s2;False
33;8;49038;50524;s1;False
39;6;50232;51520;s2;False
34;3;50524;52010;s1;False
40;5;51520;52808;s2;False
35;8;52010;53496;s1;True
41;2;52808;54096;s2;True
36;1;53496;54982;s1;False
42;4;54096;55384;s2;False
37;5;54982;56468;s1;False
43;8;55384;56672;s2;False
38;2;56468;57954;s1;False
44;3;56672;57960;s2;False
39;4;57954;59440;s1;True
45;6;57960;59248;s2;True
46;1;59248;60536;s2;False
40;8;59440;60926;s1;False
47;2;60536;61824;s2;False
41;6;60926;62412;s1;False
48;5;61824;63112;s2;False
42;2;62412;63898;s1;False
49;1;63112;64400;s2;False
43;3;63898;65384;s1;False
50;4;64400;65688;s2;False
44;5;65384;66870;s1;False
51;8;65688;66976;s2;True
45;9;66870;68356;s1;True
52;2;66976;68264;s2;False
53;6;68264;69552;s2;False
46;1;68356;69842;s1;False
54;3;69552;70840;s2;False
47;4;69842;71328;s1;False
55;8;70840;72128;s2;False
48;3;71328;72814;s1;False
56;2;72128;73416;s2;False
49;4;72814;74300;s1;False
57;6;73416;74704;s2;False
50;8;74300;75786;s1;False
58;4;74704;75992;s2;False
51;3;75786;77272;s1;True
59;9;75992;77280;s2;True
52;1;77272;78758;s1;False
60;5;77280;78568;s2;False
61;3;78568;79856;s2;False
53;6;78758;80244;s1;False
62;8;79856;81144;s2;False
54;5;80244;81730;s1;False
63;1;81144;82432;s2;False
55;2;81730;83216;s1;False
64;3;82432;83720;s2;False
56;8;83216;84702;s1;False
65;2;83720;85008;s2;False
57;3;84702;86188;s1;False
66;4;85008;86296;s2;False
58;2;86188;87674;s1;False
67;6;86296;87584;s2;False
68;5;87584;88872;s2;False
59;6;87674;89160;s1;False
69;8;88872;90160;s2;False
60;2;89160;90646;s1;True
70;3;90160;91448;s2;True
61;5;90646;92132;s1;False
71;1;91448;92736;s2;False
62;4;92132;93618;s1;False
72;8;92736;94024;s2;False
63;1;93618;95104;s1;False
73;9;94024;95312;s2;False
64;3;95104;96590;s1;False
74;1;95312;96600;s2;False
65;9;96590;98076;s1;False
75;3;96600;97888;s2;False
76;6;97888;99176;s2;False
66;1;98076;99562;s1;False
77;2;99176;100464;s2;False
67;8;99562;101048;s1;False
78;5;100464;101752;s2;False
68;6;101048;102534;s1;False
79;4;101752;103040;s2;False
69;2;102534;104020;s1;False
80;3;103040;104328;s2;False
70;1;104020;105506;s1;True
81;6;104328;105616;s2;True
71;4;105506;106992;s1;True
82;2;105616;106904;s2;True
83;9;106904;108192;s2;False
72;3;106992;108478;s1;False
84;6;108192;109480;s2;False
73;4;108478;109964;s1;False
85;8;109480;110768;s2;False
74;6;109964;111450;s1;False
86;1;110768;112056;s2;False
75;9;111450;112936;s1;False
87;2;112056;113344;s2;False
76;5;112936;114422;s1;False
88;4;113344;114632;s2;False
77;1;114422;115908;s1;False
89;9;114632;115920;s2;False
78;8;115908;117394;s1;False
90;3;115920;117208;s2;False
91;1;117208;118496;s2;False
79;2;117394;118880;s1;False
92;5;118496;119784;s2;False
80;4;118880;120366;s1;False
93;6;119784;121072;s2;True
81;9;120366;121852;s1;True
94;2;121072;122360;s2;False
82;3;121852;123338;s1;False
95;6;122360;123648;s2;False
83;1;123338;124824;s1;False
96;5;123648;124936;s2;False
84;3;124824;126310;s1;True
97;2;124936;126224;s2;True
98;8;126224;127512;s2;False
85;5;126310;127796;s1;False
99;3;127512;128800;s2;True
86;1;127796;129282;s1;True
100;4;128800;130088;s2;False
87;2;129282;130768;s1;False
101;3;130088;131376;s2;False
88;8;130768;132254;s1;False
102;1;131376;132664;s2;False
89;4;132254;133740;s1;False
103;2;132664;133952;s2;False
90;6;133740;135226;s1;False
104;4;133952;135240;s2;False
91;1;135226;136712;s1;False
105;3;135240;136528;s2;False
106;2;136528;137816;s2;False
92;9;136712;138198;s1;False
107;1;137816;139104;s2;False
93;2;138198;139684;s1;False
108;9;139104;140392;s2;False
94;5;139684;141170;s1;False
109;6;140392;141680;s2;False
95;3;141170;142656;s1;False
110;9;141680;142968;s2;True
96;4;142656;144142;s1;True
111;6;142968;144256;s2;True
97;1;144142;145628;s1;True
112;9;144256;145544;s2;False
113;2;145544;146832;s2;True
98;4;145628;147114;s1;True
114;5;146832;148120;s2;False
99;6;147114;148600;s1;True
115;1;148120;149408;s2;True
100;2;148600;150086;s1;False
116;8;149408;150696;s2;False
101;3;150086;151572;s1;False
117;2;150696;151984;s2;False
102;5;151572;153058;s1;True
118;6;151984;153272;s2;True
103;9;153058;154544;s1;False
119;3;153272;154560;s2;False
104;2;154544;156030;s1;False
120;9;154560;155848;s2;False
121;3;155848;157136;s2;False
105;4;156030;157516;s1;False
122;6;157136;158424;s2;False
106;5;157516;159002;s1;False
123;4;158424;159712;s2;False
107;3;159002;160488;s1;False
124;5;159712;161000;s2;False
108;6;160488;161974;s1;False
125;1;161000;162288;s2;False
109;9;161974;163460;s1;False
126;2;162288;163576;s2;False
110;3;163460;164946;s1;True
127;5;163576;164864;s2;True
128;6;164864;166152;s2;False
111;1;164946;166432;s1;False
129;8;166152;167440;s2;False
112;2;166432;167918;s1;False
130;9;167440;168728;s2;False
113;3;167918;169404;s1;False
131;6;168728;170016;s2;True
114;2;169404;170890;s1;True
132;3;170016;171304;s2;False
115;5;170890;172376;s1;False
133;4;171304;172592;s2;False
116;9;172376;173862;s1;False
134;2;172592;173880;s2;False
117;6;173862;175348;s1;False
135;5;173880;175168;s2;False
136;3;175168;176456;s2;False
118;9;175348;176834;s1;True
137;2;176456;177744;s2;True
119;4;176834;178320;s1;True
138;8;177744;179032;s2;True
120;6;178320;179806;s1;False
139;1;179032;180320;s2;False
121;4;179806;181292;s1;False
140;2;180320;181608;s2;False
122;3;181292;182778;s1;True
141;5;181608;182896;s2;True
123;8;182778;184264;s1;False
142;6;182896;184184;s2;False
143;9;184184;185472;s2;False
124;1;184264;185750;s1;False
144;4;185472;186760;s2;False
125;3;185750;187236;s1;False
145;1;186760;188048;s2;False
126;9;187236;188722;s1;False
146;6;188048;189336;s2;True
127;4;188722;190208;s1;True
147;5;189336;190624;s2;False
128;1;190208;191694;s1;False
148;8;190624;191912;s2;False
129;5;191694;193180;s1;False
149;4;191912;193200;s2;True
130;2;193180;194666;s1;True
150;3;193200;194488;s2;False
151;6;194488;195776;s2;False
131;8;194666;196152;s1;False
152;4;195776;197064;s2;False
132;3;196152;197638;s1;False
153;8;197064;198352;s2;False
133;4;197638;199124;s1;False
154;5;198352;199640;s2;False
134;2;199124;200610;s1;False
155;3;199640;200928;s2;False
135;6;200610;202096;s1;False
156;1;200928;202216;s2;False
136;5;202096;203582;s1;False
157;6;202216;203504;s2;False
158;9;203504;204792;s2;False
137;4;203582;205068;s1;True
159;5;204792;206080;s2;True
138;1;205068;206554;s1;False
160;9;206080;207368;s2;False
