Event IDs;Stream of Trials;Time onsets;Time offsets;Stimulus;Conflicts
0;9;0;1288;s2;False
0;1;0;1486;s1;False
1;3;1288;2576;s2;True
1;2;1486;2972;s1;True
2;6;2576;3864;s2;False
2;5;2972;4458;s1;False
3;1;3864;5152;s2;False
3;2;4458;5944;s1;False
4;3;5152;6440;s2;False
4;9;5944;7430;s1;False
5;2;6440;7728;s2;False
5;6;7430;8916;s1;False
6;1;7728;9016;s2;True
6;9;8916;10402;s1;True
7;5;9016;10304;s2;False
8;2;10304;11592;s2;False
7;3;10402;11888;s1;False
9;5;11592;12880;s2;False
8;6;11888;13374;s1;True
10;9;12880;14168;s2;True
9;2;13374;14860;s1;False
11;1;14168;15456;s2;False
10;3;14860;16346;s1;False
12;6;15456;16744;s2;False
11;5;16346;17832;s1;False
13;3;16744;18032;s2;False
12;6;17832;19318;s1;False
14;8;18032;19320;s2;False
13;1;19318;20804;s1;True
15;5;19320;20608;s2;True
16;9;20608;21896;s2;False
14;8;20804;22290;s1;False
17;3;21896;23184;s2;False
15;1;22290;23776;s1;False
18;5;23184;24472;s2;False
16;3;23776;25262;s1;False
19;1;24472;25760;s2;False
17;2;25262;26748;s1;False
20;6;25760;27048;s2;False
18;9;26748;28234;s1;False
21;4;27048;28336;s2;False
19;5;28234;29720;s1;False
22;8;28336;29624;s2;False
23;2;29624;30912;s2;False
20;4;29720;31206;s1;False
24;6;30912;32200;s2;False
21;5;31206;32692;s1;True
25;2;32200;33488;s2;True
22;6;32692;34178;s1;False
26;4;33488;34776;s2;False
23;1;34178;35664;s1;True
27;2;34776;36064;s2;True
24;3;35664;37150;s1;False
28;5;36064;37352;s2;False
25;4;37150;38636;s1;False
29;3;37352;38640;s2;False
26;8;38636;40122;s1;True
30;2;38640;39928;s2;False
31;4;39928;41216;s2;True
27;1;40122;41608;s1;False
32;2;41216;42504;s2;False
28;8;41608;43094;s1;False
33;3;42504;43792;s2;False
29;6;43094;44580;s1;False
34;8;43792;45080;s2;False
30;5;44580;46066;s1;False
35;9;45080;46368;s2;False
31;2;46066;47552;s1;False
36;4;46368;47656;s2;False
32;1;47552;49038;s1;True
37;6;47656;48944;s2;False
38;3;48944;50232;s2;True
33;8;49038;50524;s1;False
39;1;50232;51520;s2;False
34;2;50524;52010;s1;False
40;4;51520;52808;s2;False
35;9;52010;53496;s1;False
41;6;52808;54096;s2;True
36;3;53496;54982;s1;True
42;8;54096;55384;s2;False
37;9;54982;56468;s1;True
43;1;55384;56672;s2;True
38;6;56468;57954;s1;False
44;5;56672;57960;s2;False
39;4;57954;59440;s1;False
45;6;57960;59248;s2;False
46;9;59248;60536;s2;False
40;1;59440;60926;s1;False
47;2;60536;61824;s2;False
41;8;60926;62412;s1;False
48;3;61824;63112;s2;False
42;5;62412;63898;s1;True
49;9;63112;64400;s2;True
43;3;63898;65384;s1;False
50;8;64400;65688;s2;False
44;4;65384;66870;s1;False
51;1;65688;66976;s2;False
45;6;66870;68356;s1;False
52;5;66976;68264;s2;False
53;4;68264;69552;s2;False
46;3;68356;69842;s1;True
54;9;69552;70840;s2;True
47;5;69842;71328;s1;False
55;6;70840;72128;s2;False
48;3;71328;72814;s1;False
56;4;72128;73416;s2;False
49;8;72814;74300;s1;False
57;6;73416;74704;s2;True
50;2;74300;75786;s1;True
58;3;74704;75992;s2;False
51;1;75786;77272;s1;False
59;5;75992;77280;s2;False
52;2;77272;78758;s1;False
60;6;77280;78568;s2;False
61;8;78568;79856;s2;False
53;6;78758;80244;s1;False
62;2;79856;81144;s2;False
54;4;80244;81730;s1;False
63;1;81144;82432;s2;False
55;5;81730;83216;s1;False
64;3;82432;83720;s2;False
56;6;83216;84702;s1;False
65;1;83720;85008;s2;False
57;8;84702;86188;s1;False
66;9;85008;86296;s2;True
58;6;86188;87674;s1;True
67;8;86296;87584;s2;False
68;5;87584;88872;s2;False
59;1;87674;89160;s1;False
69;6;88872;90160;s2;True
60;3;89160;90646;s1;True
70;9;90160;91448;s2;False
61;5;90646;92132;s1;False
71;6;91448;92736;s2;False
62;9;92132;93618;s1;False
72;4;92736;94024;s2;False
63;3;93618;95104;s1;False
73;5;94024;95312;s2;True
64;2;95104;96590;s1;True
74;6;95312;96600;s2;False
65;9;96590;98076;s1;False
75;5;96600;97888;s2;False
76;1;97888;99176;s2;False
66;6;98076;99562;s1;False
77;3;99176;100464;s2;False
67;2;99562;101048;s1;False
78;9;100464;101752;s2;False
68;5;101048;102534;s1;False
79;2;101752;103040;s2;False
69;1;102534;104020;s1;False
80;5;103040;104328;s2;False
70;3;104020;105506;s1;False
81;1;104328;105616;s2;False
71;4;105506;106992;s1;False
82;6;105616;106904;s2;False
83;2;106904;108192;s2;False
72;9;106992;108478;s1;False
84;3;108192;109480;s2;False
73;6;108478;109964;s1;True
85;4;109480;110768;s2;True
74;5;109964;111450;s1;False
86;1;110768;112056;s2;True
75;8;111450;112936;s1;True
87;9;112056;113344;s2;False
76;2;112936;114422;s1;False
88;4;113344;114632;s2;False
77;1;114422;115908;s1;False
89;8;114632;115920;s2;True
78;6;115908;117394;s1;True
90;1;115920;117208;s2;False
91;9;117208;118496;s2;False
79;3;117394;118880;s1;False
92;5;118496;119784;s2;False
80;6;118880;120366;s1;False
93;9;119784;121072;s2;True
81;1;120366;121852;s1;True
94;2;121072;122360;s2;False
82;4;121852;123338;s1;False
95;3;122360;123648;s2;False
83;1;123338;124824;s1;False
96;2;123648;124936;s2;False
84;3;124824;126310;s1;False
97;6;124936;126224;s2;False
98;8;126224;127512;s2;False
85;5;126310;127796;s1;False
99;3;127512;128800;s2;False
86;9;127796;129282;s1;False
100;5;128800;130088;s2;False
87;2;129282;130768;s1;False
101;1;130088;131376;s2;False
88;6;130768;132254;s1;True
102;4;131376;132664;s2;True
89;2;132254;133740;s1;False
103;9;132664;133952;s2;False
90;8;133740;135226;s1;False
104;6;133952;135240;s2;False
91;2;135226;136712;s1;True
105;1;135240;136528;s2;True
106;4;136528;137816;s2;False
92;6;136712;138198;s1;False
107;3;137816;139104;s2;False
93;9;138198;139684;s1;False
108;8;139104;140392;s2;False
94;3;139684;141170;s1;False
109;1;140392;141680;s2;True
95;6;141170;142656;s1;True
110;9;141680;142968;s2;False
96;4;142656;144142;s1;False
111;2;142968;144256;s2;False
97;9;144142;145628;s1;False
112;6;144256;145544;s2;False
113;3;145544;146832;s2;False
98;1;145628;147114;s1;False
114;8;146832;148120;s2;False
99;5;147114;148600;s1;False
115;9;148120;149408;s2;False
100;3;148600;150086;s1;False
116;1;149408;150696;s2;True
101;8;150086;151572;s1;True
117;4;150696;151984;s2;False
102;6;151572;153058;s1;False
118;5;151984;153272;s2;False
103;8;153058;154544;s1;False
119;1;153272;154560;s2;False
104;2;154544;156030;s1;False
120;8;154560;155848;s2;False
121;9;155848;157136;s2;True
105;4;156030;157516;s1;True
122;1;157136;158424;s2;True
106;2;157516;159002;s1;True
123;3;158424;159712;s2;False
107;4;159002;160488;s1;False
124;9;159712;161000;s2;False
108;8;160488;161974;s1;False
125;2;161000;162288;s2;False
109;1;161974;163460;s1;False
126;4;162288;163576;s2;False
110;6;163460;164946;s1;True
127;1;163576;164864;s2;False
128;3;164864;166152;s2;True
111;9;164946;166432;s1;False
129;2;166152;167440;s2;False
112;5;166432;167918;s1;False
130;9;167440;168728;s2;False
113;4;167918;169404;s1;False
131;6;168728;170016;s2;False
114;2;169404;170890;s1;True
132;9;170016;171304;s2;True
115;1;170890;172376;s1;False
133;5;171304;172592;s2;False
116;2;172376;173862;s1;False
134;1;172592;173880;s2;False
117;9;173862;175348;s1;False
135;4;173880;175168;s2;False
136;2;175168;176456;s2;False
118;6;175348;176834;s1;False
137;5;176456;177744;s2;False
119;8;176834;178320;s1;True
138;2;177744;179032;s2;True
120;6;178320;179806;s1;False
139;1;179032;180320;s2;False
121;5;179806;181292;s1;False
140;8;180320;181608;s2;False
122;3;181292;182778;s1;False
141;4;181608;182896;s2;False
123;1;182778;184264;s1;False
142;6;182896;184184;s2;False
143;9;184184;185472;s2;False
124;4;184264;185750;s1;False
144;5;185472;186760;s2;False
125;9;185750;187236;s1;False
145;6;186760;188048;s2;False
126;2;187236;188722;s1;False
146;3;188048;189336;s2;False
127;8;188722;190208;s1;False
147;1;189336;190624;s2;False
128;9;190208;191694;s1;False
148;6;190624;191912;s2;True
129;4;191694;193180;s1;True
149;2;191912;193200;s2;False
130;3;193180;194666;s1;False
150;8;193200;194488;s2;False
151;9;194488;195776;s2;False
131;2;194666;196152;s1;False
152;4;195776;197064;s2;False
132;5;196152;197638;s1;False
153;6;197064;198352;s2;False
133;8;197638;199124;s1;False
154;1;198352;199640;s2;False
134;6;199124;200610;s1;False
155;9;199640;200928;s2;False
135;1;200610;202096;s1;False
156;8;200928;202216;s2;False
136;4;202096;203582;s1;False
157;5;202216;203504;s2;False
158;2;203504;204792;s2;False
137;5;203582;205068;s1;False
159;3;204792;206080;s2;False
138;9;205068;206554;s1;False
160;5;206080;207368;s2;False
139;3;206554;208040;s1;False
161;4;207368;208656;s2;False
140;1;208040;209526;s1;False
162;9;208656;209944;s2;False
141;6;209526;211012;s1;False
163;5;209944;211232;s2;True
142;4;211012;212498;s1;True
164;3;211232;212520;s2;False
143;6;212498;213984;s1;True
165;2;212520;213808;s2;True
166;1;213808;215096;s2;False
144;9;213984;215470;s1;False
167;6;215096;216384;s2;False
145;3;215470;216956;s1;False
168;4;216384;217672;s2;False
146;6;216956;218442;s1;False
169;8;217672;218960;s2;False
147;1;218442;219928;s1;False
170;5;218960;220248;s2;False
148;4;219928;221414;s1;False
171;9;220248;221536;s2;False
149;8;221414;222900;s1;False
172;1;221536;222824;s2;False
173;6;222824;224112;s2;False
150;5;222900;224386;s1;False
174;3;224112;225400;s2;False
151;1;224386;225872;s1;True
175;8;225400;226688;s2;True
152;2;225872;227358;s1;True
176;9;226688;227976;s2;True
153;1;227358;228844;s1;False
177;4;227976;229264;s2;False
154;3;228844;230330;s1;False
178;6;229264;230552;s2;True
155;5;230330;231816;s1;True
179;1;230552;231840;s2;False
156;4;231816;233302;s1;True
180;9;231840;233128;s2;True
181;3;233128;234416;s2;False
157;6;233302;234788;s1;False
182;8;234416;235704;s2;False
158;4;234788;236274;s1;False
183;6;235704;236992;s2;False
159;8;236274;237760;s1;False
184;5;236992;238280;s2;True
160;9;237760;239246;s1;True
185;3;238280;239568;s2;False
161;8;239246;240732;s1;False
186;4;239568;240856;s2;False
162;2;240732;242218;s1;True
187;6;240856;242144;s2;False
188;8;242144;243432;s2;True
163;5;242218;243704;s1;True
189;1;243432;244720;s2;True
164;3;243704;245190;s1;False
190;8;244720;246008;s2;False
165;6;245190;246676;s1;False
191;9;246008;247296;s2;True
166;3;246676;248162;s1;True
192;2;247296;248584;s2;True
167;8;248162;249648;s1;True
193;6;248584;249872;s2;False
168;5;249648;251134;s1;False
194;9;249872;251160;s2;False
169;4;251134;252620;s1;False
195;3;251160;252448;s2;False
196;2;252448;253736;s2;False
170;9;252620;254106;s1;False
197;8;253736;255024;s2;False
171;3;254106;255592;s1;False
198;1;255024;256312;s2;False
172;6;255592;257078;s1;False
199;5;256312;257600;s2;False
173;1;257078;258564;s1;False
200;3;257600;258888;s2;True
174;4;258564;260050;s1;True
201;8;258888;260176;s2;True
175;2;260050;261536;s1;True
202;5;260176;261464;s2;False
203;9;261464;262752;s2;False
176;8;261536;263022;s1;True
204;6;262752;264040;s2;True
177;1;263022;264508;s1;False
205;4;264040;265328;s2;False
178;9;264508;265994;s1;False
206;1;265328;266616;s2;False
179;2;265994;267480;s1;False
207;5;266616;267904;s2;True
180;3;267480;268966;s1;True
208;2;267904;269192;s2;False
181;8;268966;270452;s1;False
209;1;269192;270480;s2;False
182;5;270452;271938;s1;False
210;9;270480;271768;s2;False
211;3;271768;273056;s2;False
183;4;271938;273424;s1;False
212;5;273056;274344;s2;False
