Timepoints;Stimulus Type;Numbers
0;s1;9
0;s2;3
925;s2;5
1020;s1;8
1850;s2;1
2040;s1;4
2775;s2;6
3060;s1;2
3700;s2;9
4080;s1;8
4625;s2;6
5100;s1;3
5550;s2;4
6120;s1;2
6475;s2;5
7140;s1;1
7400;s2;3
8160;s1;2
8325;s2;8
9180;s1;5
9250;s2;4
10175;s2;9
10200;s1;6
11100;s2;1
11220;s1;4
12025;s2;5
12240;s1;8
12950;s2;1
13260;s1;2
13875;s2;3
14280;s1;6
14800;s2;9
15300;s1;5
15725;s2;6
16320;s1;4
16650;s2;2
17340;s1;8
17575;s2;1
18360;s1;9
18500;s2;3
19380;s1;4
19425;s2;6
20350;s2;3
20400;s1;9
21275;s2;5
21420;s1;1
22200;s2;8
22440;s1;2
23125;s2;4
23460;s1;1
24050;s2;3
24480;s1;5
24975;s2;6
25500;s1;8
25900;s2;9
26520;s1;2
26825;s2;5
27540;s1;4
27750;s2;2
28560;s1;9
28675;s2;1
