Timepoints;Stimulus Type;Numbers
1;s2;8
926;s2;3
1851;s2;9
1970;s1;1
2776;s2;4
2955;s1;6
3701;s2;5
3940;s1;2
4626;s2;8
4925;s1;3
5551;s2;2
5910;s1;9
6476;s2;5
6895;s1;6
7401;s2;4
7880;s1;1
8326;s2;8
8865;s1;3
9251;s2;6
9850;s1;4
10176;s2;9
10835;s1;1
11101;s2;2
11820;s1;5
12026;s2;6
12805;s1;3
12951;s2;1
13790;s1;2
13876;s2;5
14775;s1;9
14801;s2;8
15726;s2;4
15760;s1;5
16651;s2;3
16745;s1;4
17576;s2;1
17730;s1;8
18501;s2;9
18715;s1;2
19426;s2;6
19700;s1;4
20351;s2;9
20685;s1;1
21276;s2;3
21670;s1;2
22201;s2;6
22655;s1;5
23126;s2;8
23640;s1;3
24051;s2;2
24625;s1;9
24976;s2;6
25610;s1;8
25901;s2;5
26595;s1;4
26826;s2;1
27580;s1;9
27751;s2;5
28565;s1;4
28676;s2;1
29550;s1;3
29601;s2;8
30526;s2;6
30535;s1;2
31451;s2;3
31520;s1;1
32376;s2;2
32505;s1;9
33301;s2;5
33490;s1;8
34226;s2;4
34475;s1;6
35151;s2;9
35460;s1;8
36076;s2;1
36445;s1;5
37001;s2;2
37430;s1;4
37926;s2;3
38415;s1;6
38851;s2;9
39400;s1;1
39776;s2;8
40385;s1;2
40701;s2;6
41370;s1;3
41626;s2;4
42355;s1;5
42551;s2;9
43340;s1;8
43476;s2;3
44325;s1;5
44401;s2;1
45310;s1;2
45326;s2;4
46251;s2;6
46295;s1;9
47176;s2;1
47280;s1;6
48101;s2;2
48265;s1;3
49026;s2;5
49250;s1;4
49951;s2;8
50235;s1;6
50876;s2;9
51220;s1;8
51801;s2;2
52205;s1;5
52726;s2;3
53190;s1;1
53651;s2;4
54175;s1;5
54576;s2;3
55160;s1;8
55501;s2;1
56145;s1;9
56426;s2;2
57130;s1;6
57351;s2;4
58115;s1;8
58276;s2;9
59100;s1;6
59201;s2;5
60085;s1;1
60126;s2;2
61051;s2;3
61070;s1;4
61976;s2;5
62055;s1;3
62901;s2;6
63040;s1;8
63826;s2;2
64025;s1;9
64751;s2;4
65010;s1;1
65676;s2;8
65995;s1;4
66601;s2;1
66980;s1;3
67526;s2;2
67965;s1;5
68451;s2;6
68950;s1;9
69376;s2;1
69935;s1;5
70301;s2;9
70920;s1;3
71226;s2;8
71905;s1;4
72151;s2;6
72890;s1;2
73076;s2;4
73875;s1;5
74001;s2;1
74860;s1;3
74926;s2;8
75845;s1;9
75851;s2;2
76776;s2;6
76830;s1;3
77701;s2;9
77815;s1;6
78626;s2;8
78800;s1;2
79551;s2;5
79785;s1;4
80476;s2;1
80770;s1;2
81401;s2;8
81755;s1;9
82326;s2;6
82740;s1;5
83251;s2;4
83725;s1;3
84176;s2;1
84710;s1;4
85101;s2;3
85695;s1;9
86026;s2;5
86680;s1;2
86951;s2;8
87665;s1;6
87876;s2;1
88650;s1;9
88801;s2;3
89635;s1;5
89726;s2;4
90620;s1;2
90651;s2;8
91576;s2;6
91605;s1;1
92501;s2;9
92590;s1;6
93426;s2;3
93575;s1;8
94351;s2;1
94560;s1;4
95276;s2;5
95545;s1;2
96201;s2;3
96530;s1;4
97126;s2;2
97515;s1;9
98051;s2;1
98500;s1;5
98976;s2;6
99485;s1;8
99901;s2;4
100470;s1;6
100826;s2;2
101455;s1;1
101751;s2;8
102440;s1;5
102676;s2;9
103425;s1;3
103601;s2;2
104410;s1;1
104526;s2;3
105395;s1;5
105451;s2;9
106376;s2;4
106380;s1;6
107301;s2;8
107365;s1;4
108226;s2;5
108350;s1;3
109151;s2;8
109335;s1;2
110076;s2;1
110320;s1;6
111001;s2;9
111305;s1;1
111926;s2;4
112290;s1;9
112851;s2;2
113275;s1;8
113776;s2;3
114260;s1;5
114701;s2;6
115245;s1;4
115626;s2;3
116230;s1;6
116551;s2;1
117215;s1;5
117476;s2;2
118200;s1;8
118401;s2;9
