Timepoints;Stimulus Type;Numbers
0;s1;2
0;s2;9
925;s2;4
1020;s1;8
1850;s2;5
2040;s1;6
2775;s2;3
3060;s1;1
3700;s2;4
4080;s1;3
4625;s2;5
5100;s1;2
5550;s2;9
6120;s1;8
6475;s2;1
7140;s1;6
7400;s2;9
8160;s1;1
8325;s2;6
9180;s1;5
9250;s2;4
10175;s2;3
10200;s1;8
11100;s2;2
11220;s1;4
12025;s2;8
12240;s1;1
12950;s2;2
13260;s1;5
13875;s2;6
14280;s1;3
14800;s2;9
15300;s1;6
15725;s2;5
16320;s1;2
16650;s2;8
17340;s1;1
17575;s2;3
18360;s1;9
18500;s2;4
19380;s1;6
19425;s2;8
20350;s2;4
20400;s1;2
21275;s2;3
21420;s1;9
22200;s2;1
22440;s1;5
23125;s2;3
23460;s1;1
24050;s2;8
24480;s1;5
24975;s2;9
25500;s1;2
25900;s2;4
26520;s1;6
26825;s2;9
27540;s1;3
27750;s2;6
28560;s1;5
28675;s2;8
29580;s1;4
29600;s2;2
30525;s2;1
30600;s1;3
31450;s2;9
31620;s1;6
32375;s2;8
32640;s1;1
33300;s2;5
33660;s1;4
34225;s2;2
34680;s1;3
35150;s2;1
35700;s1;2
36075;s2;9
36720;s1;8
37000;s2;6
37740;s1;5
37925;s2;4
38760;s1;2
38850;s2;6
39775;s2;9
39780;s1;4
40700;s2;8
40800;s1;5
41625;s2;3
41820;s1;1
42550;s2;9
42840;s1;4
43475;s2;8
43860;s1;5
44400;s2;3
44880;s1;1
45325;s2;2
45900;s1;6
46250;s2;8
46920;s1;5
47175;s2;6
47940;s1;9
48100;s2;2
48960;s1;4
49025;s2;3
49950;s2;1
49980;s1;5
50875;s2;9
51000;s1;1
51800;s2;3
52020;s1;2
52725;s2;6
53040;s1;8
53650;s2;4
54060;s1;9
54575;s2;8
55080;s1;2
55500;s2;3
56100;s1;4
56425;s2;6
57120;s1;1
57350;s2;5
58140;s1;9
58275;s2;2
59160;s1;6
59200;s2;5
60125;s2;4
60180;s1;3
61050;s2;1
61200;s1;8
