Event IDs;Stream of Trials;Time onsets;Time offsets;Stimulus;Conflicts
0;9;0;1288;s2;False
0;6;0;1486;s1;False
1;3;1288;2576;s2;False
1;9;1486;2972;s1;False
2;4;2576;3864;s2;False
2;5;2972;4458;s1;False
3;6;3864;5152;s2;False
3;2;4458;5944;s1;False
4;4;5152;6440;s2;True
4;9;5944;7430;s1;True
5;8;6440;7728;s2;False
5;3;7430;8916;s1;False
6;5;7728;9016;s2;False
6;4;8916;10402;s1;False
7;2;9016;10304;s2;False
8;1;10304;11592;s2;True
7;5;10402;11888;s1;True
9;3;11592;12880;s2;False
8;2;11888;13374;s1;False
10;6;12880;14168;s2;False
9;5;13374;14860;s1;True
11;8;14168;15456;s2;True
10;6;14860;16346;s1;False
12;9;15456;16744;s2;False
11;3;16346;17832;s1;False
13;2;16744;18032;s2;False
12;8;17832;19318;s1;False
14;5;18032;19320;s2;False
13;9;19318;20804;s1;True
15;4;19320;20608;s2;True
16;8;20608;21896;s2;False
14;5;20804;22290;s1;False
17;6;21896;23184;s2;False
15;1;22290;23776;s1;True
18;4;23184;24472;s2;True
16;2;23776;25262;s1;False
19;3;24472;25760;s2;False
17;6;25262;26748;s1;False
20;1;25760;27048;s2;False
18;4;26748;28234;s1;False
21;8;27048;28336;s2;True
19;9;28234;29720;s1;True
22;4;28336;29624;s2;False
23;2;29624;30912;s2;False
20;3;29720;31206;s1;False
24;6;30912;32200;s2;True
21;5;31206;32692;s1;True
25;4;32200;33488;s2;False
22;1;32692;34178;s1;False
26;3;33488;34776;s2;True
23;8;34178;35664;s1;True
27;2;34776;36064;s2;False
24;4;35664;37150;s1;False
28;6;36064;37352;s2;False
25;8;37150;38636;s1;False
29;3;37352;38640;s2;False
26;9;38636;40122;s1;False
30;5;38640;39928;s2;False
31;1;39928;41216;s2;False
27;3;40122;41608;s1;False
32;8;41216;42504;s2;True
28;5;41608;43094;s1;True
33;4;42504;43792;s2;False
29;2;43094;44580;s1;True
34;3;43792;45080;s2;True
30;6;44580;46066;s1;False
35;8;45080;46368;s2;False
31;5;46066;47552;s1;False
36;9;46368;47656;s2;False
32;8;47552;49038;s1;False
37;5;47656;48944;s2;False
38;6;48944;50232;s2;False
33;9;49038;50524;s1;False
39;3;50232;51520;s2;False
34;8;50524;52010;s1;True
40;6;51520;52808;s2;True
35;5;52010;53496;s1;False
41;2;52808;54096;s2;False
36;1;53496;54982;s1;False
42;6;54096;55384;s2;False
37;3;54982;56468;s1;False
43;1;55384;56672;s2;False
38;2;56468;57954;s1;False
44;8;56672;57960;s2;False
39;6;57954;59440;s1;False
45;9;57960;59248;s2;False
46;5;59248;60536;s2;False
40;2;59440;60926;s1;False
47;3;60536;61824;s2;False
41;1;60926;62412;s1;False
48;5;61824;63112;s2;False
42;4;62412;63898;s1;False
49;8;63112;64400;s2;False
43;6;63898;65384;s1;False
50;2;64400;65688;s2;True
44;1;65384;66870;s1;True
51;4;65688;66976;s2;False
45;5;66870;68356;s1;False
52;2;66976;68264;s2;False
53;1;68264;69552;s2;True
46;4;68356;69842;s1;True
54;6;69552;70840;s2;False
47;8;69842;71328;s1;False
55;5;70840;72128;s2;True
48;2;71328;72814;s1;True
56;9;72128;73416;s2;False
49;6;72814;74300;s1;False
57;4;73416;74704;s2;False
50;2;74300;75786;s1;True
58;3;74704;75992;s2;True
51;9;75786;77272;s1;False
59;6;75992;77280;s2;False
52;4;77272;78758;s1;True
60;1;77280;78568;s2;False
61;3;78568;79856;s2;True
53;5;78758;80244;s1;False
62;2;79856;81144;s2;False
54;4;80244;81730;s1;False
63;5;81144;82432;s2;False
55;3;81730;83216;s1;True
64;2;82432;83720;s2;True
56;4;83216;84702;s1;False
65;1;83720;85008;s2;False
57;8;84702;86188;s1;False
66;5;85008;86296;s2;False
58;2;86188;87674;s1;False
67;3;86296;87584;s2;False
68;8;87584;88872;s2;False
59;1;87674;89160;s1;False
69;9;88872;90160;s2;False
60;5;89160;90646;s1;False
70;8;90160;91448;s2;True
61;2;90646;92132;s1;True
71;4;91448;92736;s2;False
62;9;92132;93618;s1;False
72;1;92736;94024;s2;False
63;3;93618;95104;s1;False
73;4;94024;95312;s2;False
64;6;95104;96590;s1;False
74;3;95312;96600;s2;False
65;8;96590;98076;s1;False
75;5;96600;97888;s2;False
76;9;97888;99176;s2;False
66;2;98076;99562;s1;False
77;6;99176;100464;s2;False
67;3;99562;101048;s1;False
78;8;100464;101752;s2;False
68;5;101048;102534;s1;False
79;2;101752;103040;s2;False
69;4;102534;104020;s1;False
80;3;103040;104328;s2;False
70;9;104020;105506;s1;False
81;8;104328;105616;s2;False
71;1;105506;106992;s1;False
82;2;105616;106904;s2;False
83;9;106904;108192;s2;False
72;6;106992;108478;s1;False
84;1;108192;109480;s2;False
73;5;108478;109964;s1;False
85;6;109480;110768;s2;False
74;9;109964;111450;s1;False
86;5;110768;112056;s2;False
75;3;111450;112936;s1;False
87;6;112056;113344;s2;True
76;9;112936;114422;s1;True
88;5;113344;114632;s2;False
77;1;114422;115908;s1;False
89;4;114632;115920;s2;False
78;8;115908;117394;s1;False
90;3;115920;117208;s2;False
91;1;117208;118496;s2;False
79;6;117394;118880;s1;True
92;4;118496;119784;s2;True
80;3;118880;120366;s1;False
93;1;119784;121072;s2;True
81;5;120366;121852;s1;True
94;4;121072;122360;s2;True
82;3;121852;123338;s1;True
95;8;122360;123648;s2;True
83;6;123338;124824;s1;True
96;1;123648;124936;s2;False
84;2;124824;126310;s1;True
97;3;124936;126224;s2;True
98;8;126224;127512;s2;False
85;9;126310;127796;s1;True
99;4;127512;128800;s2;True
86;1;127796;129282;s1;False
100;6;128800;130088;s2;False
87;2;129282;130768;s1;False
101;9;130088;131376;s2;False
88;6;130768;132254;s1;False
102;3;131376;132664;s2;False
89;4;132254;133740;s1;False
103;2;132664;133952;s2;False
90;8;133740;135226;s1;True
104;5;133952;135240;s2;True
91;3;135226;136712;s1;False
105;9;135240;136528;s2;False
106;4;136528;137816;s2;False
92;2;136712;138198;s1;False
107;5;137816;139104;s2;False
93;9;138198;139684;s1;False
108;2;139104;140392;s2;False
94;4;139684;141170;s1;True
109;8;140392;141680;s2;True
95;5;141170;142656;s1;False
110;6;141680;142968;s2;False
96;1;142656;144142;s1;True
111;3;142968;144256;s2;True
97;9;144142;145628;s1;True
112;4;144256;145544;s2;False
113;6;145544;146832;s2;True
98;3;145628;147114;s1;True
114;8;146832;148120;s2;True
99;5;147114;148600;s1;False
115;1;148120;149408;s2;False
100;4;148600;150086;s1;False
116;3;149408;150696;s2;False
101;1;150086;151572;s1;False
117;8;150696;151984;s2;True
102;6;151572;153058;s1;True
118;5;151984;153272;s2;False
103;1;153058;154544;s1;True
119;4;153272;154560;s2;True
104;8;154544;156030;s1;True
120;3;154560;155848;s2;False
121;6;155848;157136;s2;True
105;2;156030;157516;s1;False
122;8;157136;158424;s2;True
106;3;157516;159002;s1;True
123;4;158424;159712;s2;True
107;1;159002;160488;s1;True
124;9;159712;161000;s2;True
108;5;160488;161974;s1;True
125;4;161000;162288;s2;False
109;3;161974;163460;s1;False
126;2;162288;163576;s2;False
110;5;163460;164946;s1;True
127;9;163576;164864;s2;True
128;8;164864;166152;s2;False
111;4;164946;166432;s1;False
129;3;166152;167440;s2;False
112;5;166432;167918;s1;False
130;6;167440;168728;s2;False
113;8;167918;169404;s1;False
131;4;168728;170016;s2;False
114;1;169404;170890;s1;False
132;2;170016;171304;s2;False
115;4;170890;172376;s1;False
133;5;171304;172592;s2;False
116;6;172376;173862;s1;False
134;1;172592;173880;s2;False
117;2;173862;175348;s1;False
135;9;173880;175168;s2;False
136;6;175168;176456;s2;True
118;1;175348;176834;s1;True
137;4;176456;177744;s2;False
119;9;176834;178320;s1;False
138;8;177744;179032;s2;False
120;3;178320;179806;s1;False
139;9;179032;180320;s2;False
121;8;179806;181292;s1;False
140;6;180320;181608;s2;False
122;5;181292;182778;s1;False
141;2;181608;182896;s2;False
123;9;182778;184264;s1;False
142;1;182896;184184;s2;False
143;5;184184;185472;s2;False
124;4;184264;185750;s1;False
144;2;185472;186760;s2;False
125;1;185750;187236;s1;False
145;9;186760;188048;s2;False
126;6;187236;188722;s1;False
146;5;188048;189336;s2;False
127;2;188722;190208;s1;False
147;3;189336;190624;s2;False
128;1;190208;191694;s1;False
148;8;190624;191912;s2;True
129;2;191694;193180;s1;True
149;1;191912;193200;s2;False
130;3;193180;194666;s1;False
150;4;193200;194488;s2;False
151;8;194488;195776;s2;False
131;5;194666;196152;s1;False
