0,1,2,3,4,5,6,7,8,9
turtle,monkey,pig,frog,kitten,dog,kookaburra,,,
frog,kookaburra,kitten,sheep,cat,dog,monkey,,,
cat,frog,turtle,sheep,monkey,dog,kitten,,,
turtle,kookaburra,cat,dog,kitten,sheep,monkey,,,
sheep,frog,turtle,monkey,pig,kookaburra,kitten,,,
cat,dog,pig,kitten,turtle,frog,kookaburra,,,
frog,turtle,kitten,monkey,sheep,dog,cat,,,
dog,kookaburra,cat,monkey,sheep,frog,pig,,,
sheep,kookaburra,monkey,frog,pig,dog,turtle,,,
cat,kitten,dog,turtle,kookaburra,sheep,pig,,,
pig,kitten,kookaburra,frog,turtle,cat,dog,,,
sheep,kookaburra,monkey,dog,kitten,pig,cat,,,
frog,kookaburra,turtle,cat,sheep,pig,monkey,,,
turtle,pig,monkey,cat,frog,kitten,sheep,,,
monkey,kitten,sheep,frog,cat,kookaburra,pig,,,
sheep,turtle,monkey,kitten,dog,frog,kookaburra,,,
pig,kookaburra,sheep,monkey,dog,cat,turtle,,,
cat,kookaburra,pig,sheep,frog,monkey,turtle,,,
frog,turtle,kitten,dog,cat,kookaburra,monkey,,,
turtle,sheep,monkey,cat,pig,dog,kookaburra,,,
