0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
cat,frog,turtle,sheep,kitten,dog,pig,kookaburra,monkey,kookaburra,kitten,frog,cat,monkey,dog,,,,,
pig,monkey,kitten,cat,turtle,dog,kookaburra,sheep,frog,kitten,frog,sheep,monkey,pig,turtle,,,,,
turtle,frog,kitten,sheep,dog,kookaburra,pig,cat,monkey,monkey,kookaburra,pig,dog,sheep,kitten,,,,,
dog,sheep,cat,kookaburra,kitten,monkey,pig,turtle,frog,pig,monkey,dog,cat,turtle,frog,,,,,
kookaburra,kitten,cat,turtle,sheep,frog,dog,monkey,pig,kookaburra,dog,monkey,cat,pig,kitten,,,,,
kookaburra,cat,turtle,frog,dog,kitten,pig,monkey,sheep,turtle,frog,monkey,kookaburra,pig,sheep,,,,,
dog,kitten,pig,frog,kookaburra,cat,monkey,sheep,turtle,kookaburra,turtle,cat,pig,monkey,frog,,,,,
pig,kitten,kookaburra,monkey,turtle,sheep,dog,cat,frog,kookaburra,cat,pig,turtle,dog,kitten,,,,,
pig,cat,sheep,turtle,dog,frog,monkey,kitten,kookaburra,sheep,pig,kitten,dog,kookaburra,cat,,,,,
turtle,dog,sheep,pig,kookaburra,frog,kitten,monkey,cat,turtle,dog,cat,sheep,frog,kitten,,,,,
monkey,sheep,turtle,pig,cat,kitten,dog,frog,kookaburra,turtle,monkey,dog,cat,frog,pig,,,,,
frog,monkey,pig,kitten,dog,kookaburra,cat,sheep,turtle,kitten,sheep,monkey,cat,pig,frog,,,,,
kitten,kookaburra,monkey,dog,cat,sheep,turtle,frog,pig,turtle,kitten,frog,pig,dog,sheep,,,,,
kitten,kookaburra,dog,monkey,frog,sheep,pig,turtle,cat,kitten,cat,pig,sheep,kookaburra,turtle,,,,,
pig,cat,monkey,kookaburra,kitten,turtle,frog,dog,sheep,monkey,cat,kitten,turtle,dog,sheep,,,,,
turtle,kitten,sheep,frog,monkey,cat,kookaburra,dog,pig,kitten,frog,sheep,dog,turtle,cat,,,,,
frog,kitten,cat,dog,monkey,sheep,turtle,pig,kookaburra,frog,kitten,kookaburra,sheep,cat,monkey,,,,,
cat,dog,sheep,frog,kookaburra,kitten,monkey,turtle,pig,pig,kookaburra,frog,dog,sheep,kitten,,,,,
kitten,dog,cat,kookaburra,turtle,frog,monkey,sheep,pig,monkey,dog,kookaburra,kitten,turtle,cat,,,,,
cat,kitten,dog,turtle,sheep,kookaburra,frog,pig,monkey,kookaburra,cat,kitten,sheep,frog,turtle,,,,,
