block_seq,block_condition,Target Coordinates,Distractor Coordinates,Voices
s1,ele,"(0, -37.5)","(0, -12.5)",voice2
s1,ele,"(0, -37.5)","(0, -12.5)",voice4
s1,ele,"(0, -12.5)","(0, -37.5)",voice3
s2,azimuth,"(17.5, 0)","(0, 0)",voice1
s2,azimuth,"(17.5, 0)","(0, 0)",voice4
s1,ele,"(0, -12.5)","(0, -37.5)",voice2
s1,azimuth,"(17.5, 0)","(0, 0)",voice1
s2,ele,"(0, -12.5)","(0, -37.5)",voice3
s2,ele,"(0, -12.5)","(0, -37.5)",voice3
s2,azimuth,"(17.5, 0)","(0, 0)",voice1
s2,ele,"(0, -37.5)","(0, -12.5)",voice2
s2,ele,"(0, -12.5)","(0, -37.5)",voice4
s1,azimuth,"(17.5, 0)","(0, 0)",voice3
s2,azimuth,"(0, 0)","(17.5, 0)",voice1
s1,ele,"(0, -37.5)","(0, -12.5)",voice4
s2,azimuth,"(17.5, 0)","(0, 0)",voice2
s2,ele,"(0, -12.5)","(0, -37.5)",voice3
s1,azimuth,"(0, 0)","(17.5, 0)",voice1
s1,azimuth,"(0, 0)","(17.5, 0)",voice4
s1,azimuth,"(17.5, 0)","(0, 0)",voice2
