,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
7,s2,S 65,1,4880,9.76,0.734,0
35,s2,S 65,1,11141,22.282,0.019999999999999574,0
44,s2,S 65,1,13491,26.982,0.6739999999999995,0
53,s2,S 65,1,15465,30.93,0.4939999999999998,0
70,s2,S 65,1,19159,38.318,0.8200000000000003,0
81,s2,S 65,1,21549,43.098,0.26200000000000045,0
107,s2,S 65,1,27426,54.852,0.7439999999999998,0
115,s2,S 65,1,29387,58.774,0.5459999999999994,0
127,s2,S 65,1,32029,64.058,0.6900000000000048,0
155,s2,S 65,1,38097,76.194,0.8760000000000048,0
174,s2,S 65,1,41928,83.856,0.38400000000000034,0
181,s2,S 65,1,43705,87.41,0.7539999999999907,0
232,s2,S 65,1,54756,109.512,0.2079999999999984,0
240,s2,S 65,1,56636,113.272,0.11800000000000921,0
