,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
30,s1,S  6,6,8558,17.116,0.620000000000001,0
40,s1,S  6,6,10561,21.122,0.021999999999998465,0
87,s1,S  6,6,20660,41.32,0.9339999999999975,0
184,s1,S  6,6,41190,82.38,0.14399999999999125,0
190,s1,S  6,6,42775,85.55,0.7860000000000014,0
199,s1,S  6,6,44594,89.188,0.7259999999999991,0
227,s1,S  6,6,50769,101.538,0.7939999999999969,0
232,s1,S  6,6,51952,103.904,0.367999999999995,0
245,s1,S  6,6,54849,109.698,0.7339999999999947,0
251,s1,S  6,6,56448,112.896,0.9240000000000066,0
