,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
3,response,S132,4,1321,2.642,0.47399999999999975,1
8,response,S132,4,2187,4.374,0.08000000000000007,1
15,response,S132,4,3427,6.854,0.04800000000000004,1
19,response,S132,4,4195,8.39,0.5040000000000004,1
32,response,S132,4,6660,13.32,0.5359999999999996,1
37,response,S132,4,7501,15.002,0.5899999999999999,1
52,response,S132,4,10716,21.432,0.41799999999999926,1
57,response,S132,4,11546,23.092,0.4039999999999999,1
64,response,S132,4,12757,25.514,0.3200000000000003,1
71,response,S132,4,13984,27.968,0.26200000000000045,1
82,response,S132,4,16003,32.006,0.12199999999999989,1
87,response,S132,4,16841,33.682,0.1280000000000001,1
92,response,S132,4,17669,35.338,0.10999999999999943,1
104,response,S132,4,19882,39.764,0.05799999999999983,1
126,response,S132,4,24241,48.482,0.6159999999999997,1
139,response,S132,4,26726,53.452,0.6679999999999993,1
154,response,S132,4,29478,58.956,0.3160000000000025,1
159,response,S132,4,30248,60.496,0.18599999999999994,1
164,response,S132,4,31066,62.132,0.14799999999999613,1
169,response,S132,4,31883,63.766,0.10999999999999943,1
180,response,S132,4,33991,67.982,0.1460000000000008,1
189,response,S132,4,35634,71.268,0.09600000000000364,1
198,response,S132,4,37275,74.55,0.027999999999991587,1
213,response,S132,4,40198,80.396,0.02200000000000557,1
217,response,S132,4,41002,82.004,0.6840000000000117,1
226,response,S132,4,42616,85.232,0.652000000000001,1
231,response,S132,4,43486,86.972,0.7439999999999998,1
238,response,S132,4,44632,89.264,0.5279999999999916,1
247,response,S132,4,46206,92.412,0.3400000000000034,1
254,response,S132,4,47435,94.87,0.284000000000006,1
269,response,S132,4,50312,100.624,0.18799999999998818,1
276,response,S132,4,51573,103.146,0.20600000000000307,1
303,response,S132,4,56880,113.76,0.6159999999999997,1
308,response,S132,4,57736,115.472,0.695999999999998,1
