,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
25,response,S129,1,5044,10.088,0.03200000000000003,2
32,response,S129,1,6270,12.54,0.5939999999999994,2
67,response,S129,1,12288,24.576,0.31400000000000006,2
72,response,S129,1,13103,26.206,0.2699999999999996,2
83,response,S129,1,15109,30.218,0.10200000000000031,2
99,response,S129,1,18132,36.264,0.2980000000000018,2
131,response,S129,1,23809,47.618,0.588000000000001,2
162,response,S129,1,29525,59.05,0.5079999999999956,2
212,response,S129,1,38519,77.038,0.10799999999998988,2
225,response,S129,1,41006,82.012,0.055999999999997385,2
267,response,S129,1,48780,97.56,0.5660000000000025,2
279,response,S129,1,50770,101.54,0.3640000000000043,2
304,response,S129,1,55189,110.378,0.007999999999995566,2
326,response,S129,1,59227,118.454,0.43599999999999284,2
