,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
2,s1,S  1,1,2202,4.404,0.8319999999999999,1
6,s1,S  1,1,3040,6.08,0.42799999999999994,1
13,s1,S  1,1,4293,8.586,0.47799999999999976,1
18,s1,S  1,1,5132,10.264,0.5279999999999987,1
29,s1,S  1,1,7221,14.442,0.6259999999999994,1
34,s1,S  1,1,8057,16.114,0.6699999999999999,1
52,s1,S  1,1,11398,22.796,0.007999999999999119,1
63,s1,S  1,1,13491,26.982,0.11400000000000077,0
67,s1,S  1,1,14326,28.652,0.1479999999999997,0
83,s1,S  1,1,17252,34.504,0.28599999999999426,0
95,s1,S  1,1,19758,39.516,0.4099999999999966,1
106,s1,S  1,1,21849,43.698,0.5039999999999978,1
115,s1,S  1,1,23523,47.046,0.5940000000000012,0
120,s1,S  1,1,24359,48.718,0.6300000000000026,1
129,s1,S  1,1,26029,52.058,0.7060000000000031,1
143,s1,S  1,1,28536,57.072,0.010000000000005116,1
150,s1,S  1,1,29792,59.584,0.07400000000000517,0
161,s1,S  1,1,31879,63.758,0.17200000000000415,1
180,s1,S  1,1,35642,71.284,0.3500000000000085,1
191,s1,S  1,1,37734,75.468,0.45600000000000307,1
202,s1,S  1,1,39821,79.642,0.554000000000002,1
222,s1,S  1,1,43584,87.168,0.7360000000000042,0
237,s1,S  1,1,46509,93.018,0.054000000000002046,1
242,s1,S  1,1,47347,94.694,0.09799999999999898,1
247,s1,S  1,1,48184,96.368,0.13799999999999102,0
256,s1,S  1,1,49855,99.71,0.2179999999999893,1
261,s1,S  1,1,50692,101.384,0.26200000000000045,1
270,s1,S  1,1,52365,104.73,0.3400000000000034,1
293,s1,S  1,1,56959,113.918,0.5600000000000023,1
302,s1,S  1,1,58634,117.268,0.6440000000000055,0
