,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
3,response,S132,4,1338,2.676,0.43800000000000017,1
10,response,S132,4,2611,5.222,0.02800000000000047,1
23,response,S132,4,4740,9.48,0.10200000000000031,1
27,response,S132,4,5336,10.672,0.2759999999999998,1
42,response,S132,4,7956,15.912,0.6160000000000014,1
56,response,S132,4,10506,21.012,0.012000000000000455,1
65,response,S132,4,12030,24.06,0.47199999999999775,1
70,response,S132,4,12782,25.564,0.30600000000000094,1
79,response,S132,4,14460,28.92,0.3100000000000023,1
84,response,S132,4,15290,30.58,0.3059999999999974,1
91,response,S132,4,16422,32.844,0.06200000000000472,1
96,response,S132,4,17237,34.474,0.015999999999998238,1
110,response,S132,4,19758,39.516,0.047999999999994714,1
117,response,S132,4,21000,42.0,0.014000000000002899,1
126,response,S132,4,22708,45.416,0.08599999999999852,1
134,response,S132,4,24262,48.524,0.5919999999999987,1
143,response,S132,4,25801,51.602,0.40399999999999636,1
150,response,S132,4,27078,54.156,0.46999999999999886,1
163,response,S132,4,29288,58.576,0.044000000000004036,1
173,response,S132,4,31105,62.21,0.16600000000000392,1
178,response,S132,4,32109,64.218,0.5020000000000024,1
200,response,S132,4,35690,71.38,0.14399999999999125,1
205,response,S132,4,36468,72.936,0.02600000000001046,1
209,response,S132,4,37255,74.51,0.4680000000000035,1
219,response,S132,4,38936,77.872,0.5699999999999932,1
224,response,S132,4,39763,79.526,0.5859999999999985,1
231,response,S132,4,41005,82.01,0.6260000000000048,1
238,response,S132,4,42269,84.538,0.7099999999999937,1
252,response,S132,4,44733,89.466,0.6679999999999922,1
262,response,S132,4,46296,92.592,0.4519999999999982,1
272,response,S132,4,47888,95.776,0.28600000000000136,1
277,response,S132,4,48685,97.37,0.2120000000000033,1
285,response,S132,4,49855,99.71,0.04999999999999716,1
290,response,S132,4,50769,101.538,0.20600000000000307,1
297,response,S132,4,51968,103.936,0.08800000000000807,1
302,response,S132,4,52856,105.712,0.19200000000000728,1
309,response,S132,4,54062,108.124,0.09999999999999432,1
317,response,S132,4,55651,111.302,0.5440000000000111,1
326,response,S132,4,57031,114.062,0.0379999999999967,1
