,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
31,s1,S  1,1,6419,12.838,0.6919999999999984,0
37,s1,S  1,1,7673,15.346,0.7599999999999998,0
62,s1,S  1,1,12269,24.538,0.15399999999999991,0
89,s1,S  1,1,17284,34.568,0.3960000000000008,0
107,s1,S  1,1,20632,41.264,0.5660000000000025,0
135,s1,S  1,1,25644,51.288,0.7979999999999947,0
149,s1,S  1,1,28153,56.306,0.09999999999999432,0
200,s1,S  1,1,37349,74.698,0.5439999999999969,0
259,s1,S  1,1,47801,95.602,0.23199999999999932,0
275,s1,S  1,1,50724,101.448,0.36199999999999477,0
308,s1,S  1,1,56993,113.986,0.666000000000011,0
314,s1,S  1,1,58250,116.5,0.7319999999999993,0
323,s1,S  1,1,59920,119.84,0.8080000000000069,0
