,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
24,response,S130,2,5664,11.328,0.09999999999999964,3
39,response,S130,2,8731,17.462,0.5199999999999996,3
55,response,S130,2,11470,22.94,0.18200000000000216,3
76,response,S130,2,15524,31.048,0.22799999999999798,3
98,response,S130,2,19536,39.072,0.09200000000000585,3
135,response,S130,2,26756,53.512,0.6640000000000015,3
193,response,S130,2,37764,75.528,0.10800000000000409,3
272,response,S130,2,52896,105.792,0.27200000000000557,3
277,response,S130,2,53642,107.284,0.09200000000001296,3
283,response,S130,2,54673,109.346,0.20199999999999818,3
302,response,S130,2,58378,116.756,0.2639999999999958,3
313,response,S130,2,60791,121.582,1.0159999999999911,3
