,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
6,s2,S 66,2,2350,4.7,0.3380000000000001,0
30,s2,S 66,2,6843,13.686,0.13000000000000078,0
110,s2,S 66,2,21933,43.866,0.21399999999999864,0
119,s2,S 66,2,23567,47.134,0.13799999999999812,0
149,s2,S 66,2,29278,58.556,0.6939999999999955,0
176,s2,S 66,2,34584,69.168,0.4380000000000024,0
189,s2,S 66,2,37032,74.064,0.3159999999999883,0
194,s2,S 66,2,37849,75.698,0.1699999999999875,0
234,s2,S 66,2,45600,91.2,0.7360000000000042,0
273,s2,S 66,2,52941,105.882,0.09000000000000341,0
289,s2,S 66,2,55799,111.598,0.2259999999999991,0
308,s2,S 66,2,59468,118.936,0.04200000000000159,0
