,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
17,response,S133,5,4182,8.364,0.14200000000000124,3
30,response,S133,5,6668,13.336,0.21600000000000108,3
49,response,S133,5,10567,21.134,0.6180000000000021,3
53,response,S133,5,11094,22.188,0.09199999999999875,3
118,response,S133,5,23345,46.69,0.11999999999999744,3
125,response,S133,5,24726,49.452,0.4339999999999975,3
130,response,S133,5,25611,51.222,0.5739999999999981,3
134,response,S133,5,26235,52.47,0.18599999999999994,3
145,response,S133,5,28244,56.488,0.021999999999998465,3
192,response,S133,5,37256,74.512,0.19599999999999795,3
203,response,S133,5,39335,78.67,0.27200000000000557,3
218,response,S133,5,42098,84.196,0.09199999999999875,3
276,response,S133,5,53254,106.508,0.367999999999995,3
283,response,S133,5,54406,108.812,0.2219999999999942,3
296,response,S133,5,56863,113.726,0.24399999999999977,3
