,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
29,s2,S 67,3,6123,12.246,0.20800000000000018,0
64,s2,S 67,3,12654,25.308,0.7319999999999993,0
73,s2,S 67,3,14286,28.572,0.6519999999999975,0
77,s2,S 67,3,15100,30.2,0.6059999999999981,0
83,s2,S 67,3,16326,32.652,0.5560000000000045,0
109,s2,S 67,3,21218,42.436,0.29999999999999716,0
141,s2,S 67,3,26933,53.866,0.03399999999999892,0
161,s2,S 67,3,30604,61.208,0.6039999999999992,2
199,s2,S 67,3,37132,74.264,0.3639999999999901,0
203,s2,S 67,3,37947,75.894,0.3200000000000074,0
219,s2,S 67,3,40804,81.608,0.1880000000000024,0
227,s2,S 67,3,42433,84.866,0.09999999999999432,0
276,s2,S 67,3,51005,102.01,0.5240000000000009,0
299,s2,S 67,3,55081,110.162,0.31800000000001205,0
303,s2,S 67,3,55900,111.8,0.2839999999999918,0
322,s2,S 67,3,59571,119.142,0.10199999999998965,0
