,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
7,s2,S 69,5,2361,4.722,0.3980000000000006,0
14,s2,S 69,5,3581,7.162,0.3259999999999996,0
34,s2,S 69,5,7257,14.514,0.15799999999999947,0
50,s2,S 69,5,10517,21.034,0.8140000000000001,0
54,s2,S 69,5,11334,22.668,0.7880000000000003,0
67,s2,S 69,5,13785,27.57,0.6760000000000019,0
84,s2,S 69,5,17047,34.094,0.5140000000000029,0
94,s2,S 69,5,19087,38.174,0.4059999999999988,2
117,s2,S 69,5,23573,47.146,0.18599999999999994,2
133,s2,S 69,5,26430,52.86,0.0519999999999996,0
146,s2,S 69,5,29286,58.572,0.740000000000002,0
171,s2,S 69,5,34184,68.368,0.5060000000000002,0
183,s2,S 69,5,36631,73.262,0.382000000000005,0
192,s2,S 69,5,38260,76.52,0.29599999999999227,0
207,s2,S 69,5,41118,82.236,0.16200000000000614,0
216,s2,S 69,5,42749,85.498,0.08200000000000784,0
234,s2,S 69,5,46012,92.024,0.5280000000000058,0
258,s2,S 69,5,50501,101.002,0.5360000000000014,0
271,s2,S 69,5,52951,105.902,0.4240000000000066,0
288,s2,S 69,5,56214,112.428,0.25799999999999557,0
