,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
3,s2,S 70,6,1941,3.882,0.8120000000000003,1
16,s2,S 70,6,4392,8.784,0.2480000000000011,1
21,s2,S 70,6,5206,10.412,0.2060000000000013,0
26,s2,S 70,6,6025,12.05,0.16800000000000104,1
31,s2,S 70,6,6838,13.676,0.12199999999999989,1
39,s2,S 70,6,8061,16.122,0.05999999999999872,1
44,s2,S 70,6,8879,17.758,0.0259999999999998,1
58,s2,S 70,6,11735,23.47,0.7219999999999978,1
63,s2,S 70,6,12552,25.104,0.6839999999999975,1
82,s2,S 70,6,16221,32.442,0.4980000000000011,1
99,s2,S 70,6,19488,38.976,0.3399999999999963,1
108,s2,S 70,6,21116,42.232,0.2539999999999978,1
123,s2,S 70,6,23976,47.952,0.11999999999999744,1
128,s2,S 70,6,24792,49.584,0.08600000000000563,1
142,s2,S 70,6,27645,55.29,0.7740000000000009,1
159,s2,S 70,6,30910,61.82,0.6180000000000021,1
170,s2,S 70,6,32947,65.894,0.5020000000000095,1
181,s2,S 70,6,34991,69.982,0.4159999999999968,1
198,s2,S 70,6,38252,76.504,0.2540000000000049,0
209,s2,S 70,6,40293,80.586,0.15200000000000102,0
224,s2,S 70,6,43555,87.11,0.8119999999999976,1
231,s2,S 70,6,44783,89.566,0.7759999999999962,1
240,s2,S 70,6,46414,92.828,0.6920000000000073,1
245,s2,S 70,6,47227,94.454,0.6479999999999961,1
262,s2,S 70,6,50493,100.986,0.48799999999999955,1
281,s2,S 70,6,54166,108.332,0.3079999999999927,1
292,s2,S 70,6,56204,112.408,0.21000000000000796,0
299,s2,S 70,6,57430,114.86,0.15200000000000102,1
304,s2,S 70,6,58246,116.492,0.11400000000000432,1
