,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
6,s2,S 66,2,2350,2.35,0.16900000000000004,0
30,s2,S 66,2,6843,6.843,0.06500000000000039,0
114,s2,S 66,2,22753,22.753,0.09100000000000108,0
119,s2,S 66,2,23567,23.567,0.06899999999999906,0
149,s2,S 66,2,29278,29.278,0.34699999999999775,0
176,s2,S 66,2,34584,34.584,0.2190000000000012,0
194,s2,S 66,2,37849,37.849,0.08499999999999375,0
234,s2,S 66,2,45600,45.6,0.3680000000000021,0
289,s2,S 66,2,55799,55.799,0.11299999999999955,0
308,s2,S 66,2,59468,59.468,0.021000000000000796,0
