,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
0,s2,S 66,2,912,0.912,0.0,0
4,s2,S 66,2,3357,3.357,0.8130000000000002,1
17,s2,S 66,2,8253,8.253,0.2400000000000002,1
28,s2,S 66,2,12331,12.331,0.14599999999999902,1
50,s2,S 66,2,21308,21.308,0.7560000000000002,1
55,s2,S 66,2,22938,22.938,0.722999999999999,1
64,s2,S 66,2,26203,26.203,0.6379999999999981,1
71,s2,S 66,2,28650,28.65,0.5749999999999993,1
76,s2,S 66,2,30278,30.278,0.5299999999999976,1
97,s2,S 66,2,38445,38.445,0.3440000000000012,1
102,s2,S 66,2,40074,40.074,0.29699999999999704,1
117,s2,S 66,2,45785,45.785,0.1559999999999988,1
122,s2,S 66,2,47414,47.414,0.1110000000000042,1
131,s2,S 66,2,50684,50.684,0.04299999999999926,1
137,s2,S 66,2,53126,53.126,0.8079999999999998,1
142,s2,S 66,2,54758,54.758,0.7660000000000053,1
153,s2,S 66,2,58841,58.841,0.6700000000000017,1
162,s2,S 66,2,62102,62.102,0.5929999999999964,1
169,s2,S 66,2,64549,64.549,0.5290000000000106,1
182,s2,S 66,2,69448,69.448,0.41199999999999193,1
193,s2,S 66,2,73527,73.527,0.3119999999999976,1
200,s2,S 66,2,75973,75.973,0.25199999999999534,1
219,s2,S 66,2,83314,83.314,0.06799999999999784,1
226,s2,S 66,2,85767,85.767,0.015000000000000568,1
246,s2,S 66,2,93925,93.925,0.6460000000000008,1
253,s2,S 66,2,96371,96.371,0.5859999999999985,1
270,s2,S 66,2,102900,102.9,0.4230000000000018,1
281,s2,S 66,2,106981,106.981,0.32099999999999795,0
