,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
0,s1,S  8,8,926,0.926,0.0,1
4,s1,S  8,8,3438,3.438,0.835,1
11,s1,S  8,8,5949,5.949,0.4630000000000001,1
16,s1,S  8,8,7621,7.621,0.5100000000000007,1
21,s1,S  8,8,9293,9.293,0.548,1
28,s1,S  8,8,11801,11.801,0.6050000000000004,1
35,s1,S  8,8,14305,14.305,0.6660000000000004,1
55,s1,S  8,8,21828,21.828,0.03200000000000003,1
60,s1,S  8,8,23496,23.496,0.06099999999999994,1
65,s1,S  8,8,25175,25.175,0.10900000000000176,1
70,s1,S  8,8,26844,26.844,0.14199999999999946,1
75,s1,S  8,8,28517,28.517,0.18799999999999883,1
84,s1,S  8,8,31862,31.862,0.27399999999999736,1
99,s1,S  8,8,37716,37.716,0.4089999999999989,1
118,s1,S  8,8,45238,45.238,0.5949999999999989,1
137,s1,S  8,8,52761,52.761,0.7700000000000031,1
151,s1,S  8,8,57776,57.776,0.07600000000000051,1
176,s1,S  8,8,67809,67.809,0.3160000000000025,1
189,s1,S  8,8,72823,72.823,0.4339999999999975,1
206,s1,S  8,8,79508,79.508,0.5879999999999939,1
213,s1,S  8,8,82016,82.016,0.6500000000000057,1
222,s1,S  8,8,85363,85.363,0.7339999999999947,1
229,s1,S  8,8,87876,87.876,0.7960000000000065,1
240,s1,S  8,8,91220,91.22,0.06699999999999307,1
247,s1,S  8,8,93725,93.725,0.12099999999999511,1
256,s1,S  8,8,97066,97.066,0.19200000000000728,1
269,s1,S  8,8,102079,102.079,0.3129999999999882,1
274,s1,S  8,8,103760,103.76,0.36700000000000443,1
281,s1,S  8,8,106268,106.268,0.41899999999999693,1
290,s1,S  8,8,109605,109.605,0.49900000000000944,1
301,s1,S  8,8,113783,113.783,0.5919999999999987,1
306,s1,S  8,8,115462,115.462,0.6370000000000005,1
317,s1,S  8,8,119638,119.638,0.737000000000009,1
