,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
17,s2,S 65,1,8215,8.215,0.2469999999999999,0
28,s2,S 65,1,12287,12.287,0.13900000000000112,0
41,s2,S 65,1,17190,17.19,0.022999999999999687,0
48,s2,S 65,1,20454,20.454,0.7830000000000013,0
112,s2,S 65,1,44113,44.113,0.19299999999999784,0
123,s2,S 65,1,48196,48.196,0.09499999999999886,0
149,s2,S 65,1,57987,57.987,0.6910000000000025,0
167,s2,S 65,1,64511,64.511,0.5289999999999964,0
213,s2,S 65,1,80832,80.832,0.1349999999999909,0
218,s2,S 65,1,82465,82.465,0.09199999999999875,0
241,s2,S 65,1,91438,91.438,0.7079999999999984,0
245,s2,S 65,1,93070,93.07,0.6639999999999873,0
249,s2,S 65,1,94704,94.704,0.6289999999999907,0
253,s2,S 65,1,96340,96.34,0.5870000000000033,0
261,s2,S 65,1,99602,99.602,0.507000000000005,0
268,s2,S 65,1,102048,102.048,0.44899999999999807,0
274,s2,S 65,1,104496,104.496,0.3859999999999957,0
316,s2,S 65,1,119999,119.999,0.012000000000000455,0
