,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
5,s2,S 66,2,4102,4.102,0.41000000000000014,0
62,s2,S 66,2,24501,24.501,0.745000000000001,0
70,s2,S 66,2,27762,27.762,0.661999999999999,0
78,s2,S 66,2,31027,31.027,0.5920000000000023,0
87,s2,S 66,2,34297,34.297,0.5150000000000006,0
93,s2,S 66,2,36742,36.742,0.4450000000000003,0
111,s2,S 66,2,43267,43.267,0.28600000000000136,0
119,s2,S 66,2,46536,46.536,0.21099999999999852,0
157,s2,S 66,2,60402,60.402,0.7000000000000028,0
205,s2,S 66,2,77540,77.54,0.2820000000000107,0
209,s2,S 66,2,79170,79.17,0.242999999999995,0
220,s2,S 66,2,83254,83.254,0.15000000000000568,0
224,s2,S 66,2,84883,84.883,0.10099999999999909,0
235,s2,S 66,2,88963,88.963,0.007999999999995566,0
256,s2,S 66,2,97126,97.126,0.6410000000000053,0
316,s2,S 66,2,118336,118.336,0.11400000000000432,0
