,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
10,s2,S 68,4,5497,5.497,0.3730000000000002,0
32,s2,S 68,4,12839,12.839,0.19299999999999962,0
38,s2,S 68,4,15291,15.291,0.1379999999999999,0
53,s2,S 68,4,21816,21.816,0.8079999999999998,0
70,s2,S 68,4,28339,28.339,0.6419999999999995,0
120,s2,S 68,4,46293,46.293,0.2079999999999984,0
146,s2,S 68,4,56088,56.088,0.8079999999999998,0
159,s2,S 68,4,60978,60.978,0.6850000000000023,0
163,s2,S 68,4,62615,62.615,0.6450000000000031,0
181,s2,S 68,4,69141,69.141,0.48799999999999955,0
221,s2,S 68,4,83824,83.824,0.11700000000000443,0
227,s2,S 68,4,86272,86.272,0.06200000000001182,0
233,s2,S 68,4,88720,88.72,0.0049999999999954525,0
240,s2,S 68,4,91987,91.987,0.762999999999991,0
253,s2,S 68,4,96878,96.878,0.6340000000000003,0
271,s2,S 68,4,103410,103.41,0.47399999999998954,0
280,s2,S 68,4,106673,106.673,0.39700000000000557,0
286,s2,S 68,4,109121,109.121,0.3329999999999984,0
294,s2,S 68,4,112384,112.384,0.257000000000005,0
305,s2,S 68,4,116469,116.469,0.16599999999999682,0
